
exercise	exercise	fruits	fruits	is down, and the number of people eating just five servings of	
clinical nutrition	clinical nutrition	fruit	fruit	followed people and their diets over time to create a dose-response curve between	
clinical nutrition	clinical nutrition	mortality	mortality	followed people and their diets over time to create a dose-response curve between fruit and vegetable consumption and	
nutrition	nutrition	fruit	fruit	followed people and their diets over time to create a dose-response curve between	
nutrition	nutrition	mortality	mortality	followed people and their diets over time to create a dose-response curve between fruit and vegetable consumption and	
fruits	fruits	lifespan	lifespan	and veggies a day, those who ate four lost a month off their	
fruits	fruits	mortality	mortality	or vegetables could buy people about a 10% drop in	
taiwan	taiwan	mortality	mortality	, researchers concluded that spending just 50 cents a day on fruits or vegetables could buy people about a 10% drop in	
taiwan	taiwan	fruits	fruits	, researchers concluded that spending just 50 cents a day on	
taiwan	taiwan	vegetables	vegetables	, researchers concluded that spending just 50 cents a day on fruits or	
stroke	stroke	disease	disease	, and heart	
stroke	stroke	heart disease	heart disease	, and	
fruit	fruit	death	death	with (typically) a single seed;  so, no wonder nuts may help prevent	
nuts	nuts	death	death	are technically just a dried fruit with (typically) a single seed;  so, no wonder nuts may help prevent	
dried fruit	dried fruit	death	death	with (typically) a single seed;  so, no wonder nuts may help prevent	
book	book	nutrition	nutrition	, i thought of it as just another platform through which i could share the same body of	
greens	greens	exercise	exercise	to eat, how much turmeric to sprinkle, which supplements i take, how much	
book	book	health	health	i offer my professional opinion, based on the best available (yet still incomplete) evidence, as to how to best feed ourselves and our families for optimal	
book	book	longevity	longevity	i offer my professional opinion, based on the best available (yet still incomplete) evidence, as to how to best feed ourselves and our families for optimal health and	
book	book	holidays	holidays	will be available in major retailers on december 8, 2015, in time for the	
book	book	new york times	new york times	me through all the big media outlets, but their success depends in part on whether i can get on the	
chronic diseases	chronic diseases	affordability	affordability	, not only because of their safety,	
plants	plants	chronic diseases	chronic diseases	—fruits, vegetables, spices, beans, and grains—have been preferred as potential therapeutics for most	
plants	plants	affordability	affordability	—fruits, vegetables, spices, beans, and grains—have been preferred as potential therapeutics for most chronic diseases, not only because of their safety,	
beans	beans	chronic diseases	chronic diseases	, and grains—have been preferred as potential therapeutics for most	
beans	beans	affordability	affordability	, and grains—have been preferred as potential therapeutics for most chronic diseases, not only because of their safety,	
beans	beans	grains	grains	, and	
spices	spices	chronic diseases	chronic diseases	, beans, and grains—have been preferred as potential therapeutics for most	
spices	spices	beans	beans	,	
spices	spices	affordability	affordability	, beans, and grains—have been preferred as potential therapeutics for most chronic diseases, not only because of their safety,	
spices	spices	grains	grains	, beans, and	
grains	grains	affordability	affordability	—have been preferred as potential therapeutics for most chronic diseases, not only because of their safety,	
fruits	fruits	chronic diseases	chronic diseases	, vegetables, spices, beans, and grains—have been preferred as potential therapeutics for most	
fruits	fruits	beans	beans	, vegetables, spices,	
fruits	fruits	spices	spices	, vegetables,	
fruits	fruits	affordability	affordability	, vegetables, spices, beans, and grains—have been preferred as potential therapeutics for most chronic diseases, not only because of their safety,	
fruits	fruits	grains	grains	, vegetables, spices, beans, and	
fruits	fruits	vegetables	vegetables	,	
vegetables	vegetables	chronic diseases	chronic diseases	, spices, beans, and grains—have been preferred as potential therapeutics for most	
vegetables	vegetables	beans	beans	, spices,	
vegetables	vegetables	spices	spices	,	
vegetables	vegetables	affordability	affordability	, spices, beans, and grains—have been preferred as potential therapeutics for most chronic diseases, not only because of their safety,	
vegetables	vegetables	grains	grains	, spices, beans, and	
pain	pain	cancer	cancer	relief, but can act as a blood thinner and help prevent preeclampsia and even some types of	
pain	pain	cancer	cancer	relief, but can act as a blood thinner and help prevent preeclampsia and even some types of	
blood	blood	cancer	cancer	thinner and help prevent preeclampsia and even some types of	
blood	blood	cancer	cancer	thinner and help prevent preeclampsia and even some types of	
inflammation	inflammation	blood	blood	and offer pain relief, but can act as a	
inflammation	inflammation	cancer	cancer	and offer pain relief, but can act as a blood thinner and help prevent preeclampsia and even some types of	
inflammation	inflammation	cancer	cancer	and offer pain relief, but can act as a blood thinner and help prevent preeclampsia and even some types of	
aspirin	aspirin	turmeric	turmeric	is an extract of the willow tree bark (and is present in other fruits and vegetables); curcumin is an extract of	
aspirin	aspirin	curcumin	curcumin	is an extract of the willow tree bark (and is present in other fruits and vegetables);	
aspirin	aspirin	fruits	fruits	is an extract of the willow tree bark (and is present in other	
aspirin	aspirin	vegetables	vegetables	is an extract of the willow tree bark (and is present in other fruits and	
vegetables	vegetables	curcumin	curcumin	);	
skin	skin	turmeric	turmeric	—a traditional use was to wrap sprains and injuries with	
anti-inflammatory	anti-inflammatory	turmeric	turmeric	that it may even work through the skin—a traditional use was to wrap sprains and injuries with	
anti-inflammatory	anti-inflammatory	gas	gas	that it can help counter the effects of mustard	
curcumin	curcumin	gas	gas	is so anti-inflammatory that it can help counter the effects of mustard	
turmeric	turmeric	asthma	asthma	has been traditionally used as a bronchodilator to open airways in conditions like	
adrenaline	adrenaline	blood	blood	-like drugs that do the same thing can raise	
adrenaline	adrenaline	blood pressure	blood pressure	-like drugs that do the same thing can raise	
calcium	calcium	side effects	side effects	channel-blocking effects that may actually lower blood pressure, and so the	
turmeric	turmeric	calcium	calcium	doesn’t may be because it has different components with opposing activities, such as	
turmeric	turmeric	blood	blood	doesn’t may be because it has different components with opposing activities, such as calcium channel-blocking effects that may actually lower	
turmeric	turmeric	side effects	side effects	doesn’t may be because it has different components with opposing activities, such as calcium channel-blocking effects that may actually lower blood pressure, and so the	
turmeric	turmeric	blood pressure	blood pressure	doesn’t may be because it has different components with opposing activities, such as calcium channel-blocking effects that may actually lower	
blood pressure	blood pressure	side effects	side effects	, and so the	
treatment	treatment	united states	united states	of genital warts (see treating genital warts with green tea), making it the first prescription plant approved in the	
treatment	treatment	tea	tea	of genital warts (see treating genital warts with green	
genital warts	genital warts	united states	united states	(see treating genital warts with green tea), making it the first prescription plant approved in the	
fda	fda	treatment	treatment	approved a green tea ointment as a prescription drug for the	
fda	fda	genital warts	genital warts	approved a green tea ointment as a prescription drug for the treatment of	
fda	fda	united states	united states	approved a green tea ointment as a prescription drug for the treatment of genital warts (see treating genital warts with green tea), making it the first prescription plant approved in the	
fda	fda	warts	warts	approved a green tea ointment as a prescription drug for the treatment of genital	
tea	tea	genital warts	genital warts	ointment as a prescription drug for the treatment of	
tea	tea	united states	united states	ointment as a prescription drug for the treatment of genital warts (see treating genital warts with green tea), making it the first prescription plant approved in the	
tea	tea	warts	warts	ointment as a prescription drug for the treatment of genital	
tea	tea	green tea	green tea	ointment as a prescription drug for the treatment of genital warts (see treating genital warts with	
warts	warts	united states	united states	(see treating genital warts with green tea), making it the first prescription plant approved in the	
green tea	green tea	genital warts	genital warts	ointment as a prescription drug for the treatment of	
green tea	green tea	united states	united states	ointment as a prescription drug for the treatment of genital warts (see treating genital warts with green tea), making it the first prescription plant approved in the	
green tea	green tea	tea	tea	ointment as a prescription drug for the treatment of genital warts (see treating genital warts with green	
green tea	green tea	warts	warts	ointment as a prescription drug for the treatment of genital	
aspirin	aspirin	kingdom	kingdom	isn’t just found in willow tree bark, but throughout the plant	
aspirin	aspirin	fruits	fruits	isn’t just found in willow tree bark, but throughout the plant kingdom, including	
aspirin	aspirin	vegetables	vegetables	isn’t just found in willow tree bark, but throughout the plant kingdom, including fruits and	
kingdom	kingdom	fruits	fruits	, including	
kingdom	kingdom	vegetables	vegetables	, including fruits and	
turmeric	turmeric	curcumin	curcumin	, specifically known for its naturally-yellow compound,	
patent	patent	curcumin	curcumin	, granted in 1995 to researchers at the university of mississippi medical center, for	
curcumin	curcumin	medicine	medicine	has been part of the indian traditional system of	
turmeric	turmeric	patent	patent	molecule and tweak it a little bit, you can	
phytonutrients	phytonutrients	plants	plants	can be converted into new chemical entities for which more specific medical claims are possible, the development of these	
patent	patent	plants	plants	it, we can educate ourselves: the concept that the curcumin in turmeric is able to target multiple diseases pathways simultaneously is explored further in my video, magic bullets vs. promiscuous	
patent	patent	turmeric	turmeric	it, we can educate ourselves: the concept that the curcumin in	
patent	patent	curcumin	curcumin	it, we can educate ourselves: the concept that the	
turmeric	turmeric	plants	plants	is able to target multiple diseases pathways simultaneously is explored further in my video, magic bullets vs. promiscuous	
curcumin	curcumin	plants	plants	in turmeric is able to target multiple diseases pathways simultaneously is explored further in my video, magic bullets vs. promiscuous	
health	health	plants	plants	(explained further in my video, xenohormesis: what doesn’t kill	
xenohormesis	xenohormesis	plants	plants	, has arisen to explain the mystery of why so many plant molecules interact with and modulate key regulators of our physiology in ways that are beneficial to our health (explained further in my video, xenohormesis: what doesn’t kill	
xenohormesis	xenohormesis	health	health	, has arisen to explain the mystery of why so many plant molecules interact with and modulate key regulators of our physiology in ways that are beneficial to our	
xenohormesis	xenohormesis	stress	stress	“explains how environmentally stressed plants produce bioactive compounds that can confer	
plants	plants	stress	stress	are attributable to the pharmacologically active substances of plants’	
health	health	stress	stress	-beneficial effects of edible plants are attributable to the pharmacologically active substances of plants’	
variety	variety	antioxidant	antioxidant	of protective pathways within the body, ramping up anti-inflammatory and	
stress	stress	variety	variety	placed upon the body by not eating enough may activate a wide	
stress	stress	anti-inflammatory	anti-inflammatory	placed upon the body by not eating enough may activate a wide variety of protective pathways within the body, ramping up	
stress	stress	antioxidant	antioxidant	placed upon the body by not eating enough may activate a wide variety of protective pathways within the body, ramping up anti-inflammatory and	
plants	plants	preservation	preservation	, they do the same thing mammals do: activate	
plants	plants	mammals	mammals	, they do the same thing	
metabolism	metabolism	disease	disease	, and improve	
resveratrol	resveratrol	tea	tea	in grapes, curcumin in the spice turmeric, and ecgc in green	
resveratrol	resveratrol	green tea	green tea	in grapes, curcumin in the spice turmeric, and ecgc in	
grapes	grapes	turmeric	turmeric	, curcumin in the spice	
grapes	grapes	tea	tea	, curcumin in the spice turmeric, and ecgc in green	
grapes	grapes	green tea	green tea	, curcumin in the spice turmeric, and ecgc in	
grapes	grapes	curcumin	curcumin	,	
turmeric	turmeric	tea	tea	, and ecgc in green	
turmeric	turmeric	green tea	green tea	, and ecgc in	
phytonutrients	phytonutrients	tea	tea	like resveratrol in grapes, curcumin in the spice turmeric, and ecgc in green	
phytonutrients	phytonutrients	green tea	green tea	like resveratrol in grapes, curcumin in the spice turmeric, and ecgc in	
plants	plants	health	health	bear the brunt and enable us to harness other species’ hardships as a means to promote our own	
xenohormesis	xenohormesis	plants	plants	, we may be able to let the	
xenohormesis	xenohormesis	health	health	, we may be able to let the plants bear the brunt and enable us to harness other species’ hardships as a means to promote our own	
hormesis	hormesis	liquid smoke	liquid smoke	in my videos enhanced athletic recovery without undermining adaptation and is	
plants	plants	pathogens	pathogens	can “sense and respond dynamically to all sorts of stimuli: chemical concentrations in the air and soil, water, touch, motion, vibration,	
plants	plants	water	water	can “sense and respond dynamically to all sorts of stimuli: chemical concentrations in the air and soil,	
water	water	pathogens	pathogens	, touch, motion, vibration,	
grapes	grapes	sun	sun	in terms of health benefit often grow in relatively dry,	
stress	stress	water	water	, light stress,	
fruits	fruits	water	water	can be nutritionally enhanced by cold stress, light stress,	
lettuce	lettuce	water	water	and fruits can be nutritionally enhanced by cold stress, light stress,	
plants	plants	stress	stress	and animals largely share the same molecular pathways in order to respond to	
stress	stress	plants	plants	, so it’s conceivable that a molecule produced in	
plants	plants	free radicals	free radicals	in the same way it can damage our dna (by creating	
sunlight	sunlight	free radicals	free radicals	can damage the dna in plants in the same way it can damage our dna (by creating	
dna	dna	free radicals	free radicals	in plants in the same way it can damage our dna (by creating	
plants	plants	antioxidants	antioxidants	figured out how to cook up all these complex	
antioxidants	antioxidants	plants	plants	, and instead of reinventing the wheel, animals can just expropriate those antioxidants from	
bacteria	bacteria	plants	plants	;	
bacteria	bacteria	penicillin	penicillin	, it creates a molecule called	
plants	plants	plant foods	plant foods	get infected, they produce aspirin (see aspirin levels in	
plants	plants	growth hormone	growth hormone	and animals differ less than we thought in how we respond to stimuli, sharing elements of fatty acid, protein, steroidal, neurotransmitter, free radical, nitric oxide, and even plant	
plants	plants	nitric oxide	nitric oxide	and animals differ less than we thought in how we respond to stimuli, sharing elements of fatty acid, protein, steroidal, neurotransmitter, free radical,	
plants	plants	protein	protein	and animals differ less than we thought in how we respond to stimuli, sharing elements of fatty acid,	
nitric oxide	nitric oxide	growth hormone	growth hormone	, and even plant	
protein	protein	growth hormone	growth hormone	, steroidal, neurotransmitter, free radical, nitric oxide, and even plant	
protein	protein	nitric oxide	nitric oxide	, steroidal, neurotransmitter, free radical,	
evolution	evolution	broccoli	broccoli	concept reminds me of human neurotransmitters in plants and the	
phytochemicals	phytochemicals	plants	plants	: the nutrition facts missing from the label can do are explored in: we evolved eating a lot of	
nutrition	nutrition	plants	plants	facts missing from the label can do are explored in: we evolved eating a lot of	
meat	meat	breakfast	breakfast	allergy, we could have a piece of bacon for	
meats	meats	pork	pork	, like	
meats	meats	pork rinds	pork rinds	, like	
meat	meat	urticaria	urticaria	allergic antibodies (see tick bites, meat allergies, and chronic	
allergies	allergies	urticaria	urticaria	, and chronic	
tick bites	tick bites	urticaria	urticaria	, meat allergies, and chronic	
tick bites	tick bites	meat	meat	,	
tick bites	tick bites	allergies	allergies	, meat	
children	children	hives	hives	with this syndrome present with just skin manifestations, such as	
parasites	parasites	urticaria	urticaria	, or be autoimmune, but in a large subset of cases we don’t know what the trigger is, and so, call it chronic “idiopathic”	
infections	infections	parasites	parasites	, foods, drugs,	
infections	infections	urticaria	urticaria	, foods, drugs, parasites, or be autoimmune, but in a large subset of cases we don’t know what the trigger is, and so, call it chronic “idiopathic”	
infections	infections	drugs	drugs	, foods,	
drugs	drugs	parasites	parasites	,	
drugs	drugs	urticaria	urticaria	, parasites, or be autoimmune, but in a large subset of cases we don’t know what the trigger is, and so, call it chronic “idiopathic”	
children	children	meat	meat	who had been diagnosed with mysterious hives or allergic reactions and may have been specifically told that the reactions were not a result of a food allergy, may have actually been suffering from anti-gal	
children	children	allergies	allergies	who had been diagnosed with mysterious hives or allergic reactions and may have been specifically told that the reactions were not a result of a food allergy, may have actually been suffering from anti-gal meat	
hives	hives	meat	meat	or allergic reactions and may have been specifically told that the reactions were not a result of a food allergy, may have actually been suffering from anti-gal	
hives	hives	allergies	allergies	or allergic reactions and may have been specifically told that the reactions were not a result of a food allergy, may have actually been suffering from anti-gal meat	
hives	hives	physicians	physicians	across all age groups underscore the importance of identifying what’s going on, and	
americans	americans	seafood	seafood	are much more likely to suffer an anaphylactic reaction due to	
allergies	allergies	fish	fish	, kids don’t tend to outgrow	
allergies	allergies	kids	kids	,	
worms	worms	anchovies	anchovies	in the fish, like anisakis, which are found particularly in cods,	
fish	fish	worms	worms	allergies are actually allergies not to the fish, but to	
fish	fish	anisakis	anisakis	allergies are actually allergies not to the fish, but to worms in the fish, like	
fish	fish	anchovies	anchovies	allergies are actually allergies not to the fish, but to worms in the fish, like anisakis, which are found particularly in cods,	
anisakis	anisakis	anchovies	anchovies	, which are found particularly in cods,	
allergies	allergies	worms	worms	are actually allergies not to the fish, but to	
allergies	allergies	anisakis	anisakis	are actually allergies not to the fish, but to worms in the fish, like	
allergies	allergies	anchovies	anchovies	are actually allergies not to the fish, but to worms in the fish, like anisakis, which are found particularly in cods,	
worms	worms	gut	gut	, researchers recommend that people stop eating seafood and sushi altogether, because besides inducing allergenic reactions, the worms may cause a leaky	
worms	worms	syndrome	syndrome	, researchers recommend that people stop eating seafood and sushi altogether, because besides inducing allergenic reactions, the worms may cause a leaky gut	
worms	worms	seafood	seafood	, researchers recommend that people stop eating	
worms	worms	sushi	sushi	, researchers recommend that people stop eating seafood and	
seafood	seafood	gut	gut	and sushi altogether, because besides inducing allergenic reactions, the worms may cause a leaky	
seafood	seafood	worms	worms	and sushi altogether, because besides inducing allergenic reactions, the	
seafood	seafood	syndrome	syndrome	and sushi altogether, because besides inducing allergenic reactions, the worms may cause a leaky gut	
sushi	sushi	gut	gut	altogether, because besides inducing allergenic reactions, the worms may cause a leaky	
sushi	sushi	syndrome	syndrome	altogether, because besides inducing allergenic reactions, the worms may cause a leaky gut	
worms	worms	pork	pork	and other allergenic parasite reactions in chronic headaches and	
worms	worms	tapeworms	tapeworms	and other allergenic parasite reactions in chronic headaches and pork	
fish	fish	pork	pork	worms and other allergenic parasite reactions in chronic headaches and	
fish	fish	tapeworms	tapeworms	worms and other allergenic parasite reactions in chronic headaches and pork	
anisakis	anisakis	pork	pork	in allergenic fish worms and other allergenic parasite reactions in chronic headaches and	
anisakis	anisakis	tapeworms	tapeworms	in allergenic fish worms and other allergenic parasite reactions in chronic headaches and pork	
anisakis	anisakis	headaches	headaches	in allergenic fish worms and other allergenic parasite reactions in chronic	
worms	worms	fish	fish	might not be the only thing increasing allergies in	
risk	risk	igf-1	igf-1	, i talk about the potential downsides of consuming proteins from within our own kingdom, such as the impact our fellow animal proteins can have on boosting our liver’s production of a cancer-promoting hormone called	
risk	risk	kingdom	kingdom	, i talk about the potential downsides of consuming proteins from within our own	
risk	risk	cancer	cancer	, i talk about the potential downsides of consuming proteins from within our own kingdom, such as the impact our fellow animal proteins can have on boosting our liver’s production of a	
risk	risk	animal proteins	animal proteins	, i talk about the potential downsides of consuming proteins from within our own kingdom, such as the impact our fellow	
risk	risk	cancer	cancer	, i talk about the potential downsides of consuming proteins from within our own kingdom, such as the impact our fellow animal proteins can have on boosting our liver’s production of a	
risk	risk	liver	liver	, i talk about the potential downsides of consuming proteins from within our own kingdom, such as the impact our fellow animal proteins can have on boosting our	
kingdom	kingdom	igf-1	igf-1	, such as the impact our fellow animal proteins can have on boosting our liver’s production of a cancer-promoting hormone called	
kingdom	kingdom	cancer	cancer	, such as the impact our fellow animal proteins can have on boosting our liver’s production of a	
kingdom	kingdom	animal proteins	animal proteins	, such as the impact our fellow	
kingdom	kingdom	cancer	cancer	, such as the impact our fellow animal proteins can have on boosting our liver’s production of a	
kingdom	kingdom	liver	liver	, such as the impact our fellow animal proteins can have on boosting our	
animal proteins	animal proteins	igf-1	igf-1	can have on boosting our liver’s production of a cancer-promoting hormone called	
animal proteins	animal proteins	cancer	cancer	can have on boosting our liver’s production of a	
animal proteins	animal proteins	cancer	cancer	can have on boosting our liver’s production of a	
food safety	food safety	pathogens	pathogens	perspective (we’re more likely to get infected by animal	
food safety	food safety	disease	disease	perspective (we’re more likely to get infected by animal pathogens than dutch elm	
kingdom	kingdom	pathogens	pathogens	, i talked about other potential advantages of preferably dipping into the plant and mushroom kingdoms for dinner, not only from a food safety perspective (we’re more likely to get infected by animal	
kingdom	kingdom	disease	disease	, i talked about other potential advantages of preferably dipping into the plant and mushroom kingdoms for dinner, not only from a food safety perspective (we’re more likely to get infected by animal pathogens than dutch elm	
kingdom	kingdom	food safety	food safety	, i talked about other potential advantages of preferably dipping into the plant and mushroom kingdoms for dinner, not only from a	
chicken	chicken	diet	diet	leg and our own legs than it is with a banana, so there may be less potential to trigger an autoimmune reaction, like degenerative brain diseases or inflammatory arthritis (see	
chicken	chicken	rheumatoid arthritis	rheumatoid arthritis	leg and our own legs than it is with a banana, so there may be less potential to trigger an autoimmune reaction, like degenerative brain diseases or inflammatory arthritis (see diet &	
chicken	chicken	arthritis	arthritis	leg and our own legs than it is with a banana, so there may be less potential to trigger an autoimmune reaction, like degenerative brain diseases or inflammatory	
immune system	immune system	diet	diet	is more likely to get confused between a chicken leg and our own legs than it is with a banana, so there may be less potential to trigger an autoimmune reaction, like degenerative brain diseases or inflammatory arthritis (see	
immune system	immune system	rheumatoid arthritis	rheumatoid arthritis	is more likely to get confused between a chicken leg and our own legs than it is with a banana, so there may be less potential to trigger an autoimmune reaction, like degenerative brain diseases or inflammatory arthritis (see diet &	
immune system	immune system	arthritis	arthritis	is more likely to get confused between a chicken leg and our own legs than it is with a banana, so there may be less potential to trigger an autoimmune reaction, like degenerative brain diseases or inflammatory	
diet	diet	rheumatoid arthritis	rheumatoid arthritis	&	
tumors	tumors	xeno-autoantibodies	xeno-autoantibodies	and other human cancers to grow (see how tumors use meat to grow:	
tumors	tumors	meat	meat	and other human cancers to grow (see how tumors use	
meat	meat	xeno-autoantibodies	xeno-autoantibodies	molecule neu5gc), sialic acid in other animals may cause inflammation in our arteries (see  nonhuman molecules lining our arteries) and help breast tumors and other human cancers to grow (see how tumors use meat to grow:	
meat	meat	tumors	tumors	molecule neu5gc), sialic acid in other animals may cause inflammation in our arteries (see  nonhuman molecules lining our arteries) and help breast	
meat	meat	inflammation	inflammation	molecule neu5gc), sialic acid in other animals may cause	
meat	meat	arteries	arteries	molecule neu5gc), sialic acid in other animals may cause inflammation in our	
neu5gc	neu5gc	xeno-autoantibodies	xeno-autoantibodies	story (see inflammatory meat molecule neu5gc), sialic acid in other animals may cause inflammation in our arteries (see  nonhuman molecules lining our arteries) and help breast tumors and other human cancers to grow (see how tumors use meat to grow:	
neu5gc	neu5gc	tumors	tumors	story (see inflammatory meat molecule neu5gc), sialic acid in other animals may cause inflammation in our arteries (see  nonhuman molecules lining our arteries) and help breast	
neu5gc	neu5gc	meat	meat	), sialic acid in other animals may cause inflammation in our arteries (see  nonhuman molecules lining our arteries) and help breast tumors and other human cancers to grow (see how tumors use	
neu5gc	neu5gc	inflammation	inflammation	story (see inflammatory meat molecule neu5gc), sialic acid in other animals may cause	
neu5gc	neu5gc	arteries	arteries	story (see inflammatory meat molecule neu5gc), sialic acid in other animals may cause inflammation in our	
inflammation	inflammation	xeno-autoantibodies	xeno-autoantibodies	in our arteries (see  nonhuman molecules lining our arteries) and help breast tumors and other human cancers to grow (see how tumors use meat to grow:	
inflammation	inflammation	tumors	tumors	in our arteries (see  nonhuman molecules lining our arteries) and help breast	
inflammation	inflammation	meat	meat	in our arteries (see  nonhuman molecules lining our arteries) and help breast tumors and other human cancers to grow (see how tumors use	
arteries	arteries	xeno-autoantibodies	xeno-autoantibodies	(see  nonhuman molecules lining our arteries) and help breast tumors and other human cancers to grow (see how tumors use meat to grow:	
arteries	arteries	tumors	tumors	(see  nonhuman molecules lining our arteries) and help breast	
arteries	arteries	meat	meat	(see  nonhuman molecules lining our arteries) and help breast tumors and other human cancers to grow (see how tumors use	
neu5gc	neu5gc	animal products	animal products	triggers inflammation is because humans lost the ability to make it two million years ago, and so when our body is exposed to it through	
inflammation	inflammation	animal products	animal products	is because humans lost the ability to make it two million years ago, and so when our body is exposed to it through	
animal products	animal products	inflammation	inflammation	, it’s treated as a foreign molecule, causing	
alpha-gal	alpha-gal	variety	variety	that humans, chimps, and apes lost the ability to make 2 million years ago, but is still made by a	
apes	apes	variety	variety	lost the ability to make 2 million years ago, but is still made by a	
antibodies	antibodies	thyroid	thyroid	may be involved in a number of detrimental processes that may result in allergic, autoimmune, and autoimmune-like diseases, such as auto-immune	
alpha-gal	alpha-gal	kidneys	kidneys	is a major obstacle to transplanting pig organs, like	
kidneys	kidneys	alpha-gal	alpha-gal	, into people, because our bodies reject	
alpha-gal	alpha-gal	antibodies	antibodies	is thought to be the major target for human anti-pig	
syndrome	syndrome	stari	stari	, also known as	
syndrome	syndrome	rash	rash	, also known as stari (southern tick associated	
disease	disease	stari	stari	, a disease similar to lyme syndrome, also known as	
disease	disease	syndrome	syndrome	, a disease similar to lyme	
disease	disease	rash	rash	, a disease similar to lyme syndrome, also known as stari (southern tick associated	
allergies	allergies	skin	skin	play in the development of chronic hives and other allergic	
allergies	allergies	children	children	play in the development of chronic hives and other allergic skin reactions in	
allergies	allergies	urticaria	urticaria	, and chronic	
tick bites	tick bites	urticaria	urticaria	, meat allergies, and chronic	
tick bites	tick bites	meat	meat	,	
tick bites	tick bites	allergies	allergies	, meat	
worms	worms	treatment	treatment	: i wonder if alpha gal is playing a role in the improvements in arthritis and crohn’s on plant-based diets: dietary	
worms	worms	diet	diet	: i wonder if alpha gal is playing a role in the improvements in arthritis and crohn’s on plant-based diets: dietary treatment of crohn’s disease and	
worms	worms	rheumatoid arthritis	rheumatoid arthritis	: i wonder if alpha gal is playing a role in the improvements in arthritis and crohn’s on plant-based diets: dietary treatment of crohn’s disease and diet &	
worms	worms	disease	disease	: i wonder if alpha gal is playing a role in the improvements in arthritis and crohn’s on plant-based diets: dietary treatment of crohn’s	
worms	worms	crohn’s disease	crohn’s disease	: i wonder if alpha gal is playing a role in the improvements in arthritis and crohn’s on plant-based diets: dietary treatment of	
worms	worms	plant-based diets	plant-based diets	: i wonder if alpha gal is playing a role in the improvements in arthritis and crohn’s on	
worms	worms	arthritis	arthritis	: i wonder if alpha gal is playing a role in the improvements in	
worms	worms	plant-based	plant-based	: i wonder if alpha gal is playing a role in the improvements in arthritis and crohn’s on	
diet	diet	rheumatoid arthritis	rheumatoid arthritis	&	
igf-1	igf-1	treatment	treatment	story: neu5gc is what opened up this whole can of worms: i wonder if alpha gal is playing a role in the improvements in arthritis and crohn’s on plant-based diets: dietary	
igf-1	igf-1	worms	worms	story: neu5gc is what opened up this whole can of	
igf-1	igf-1	diet	diet	story: neu5gc is what opened up this whole can of worms: i wonder if alpha gal is playing a role in the improvements in arthritis and crohn’s on plant-based diets: dietary treatment of crohn’s disease and	
igf-1	igf-1	rheumatoid arthritis	rheumatoid arthritis	story: neu5gc is what opened up this whole can of worms: i wonder if alpha gal is playing a role in the improvements in arthritis and crohn’s on plant-based diets: dietary treatment of crohn’s disease and diet &	
igf-1	igf-1	disease	disease	story: neu5gc is what opened up this whole can of worms: i wonder if alpha gal is playing a role in the improvements in arthritis and crohn’s on plant-based diets: dietary treatment of crohn’s	
igf-1	igf-1	crohn’s disease	crohn’s disease	story: neu5gc is what opened up this whole can of worms: i wonder if alpha gal is playing a role in the improvements in arthritis and crohn’s on plant-based diets: dietary treatment of	
igf-1	igf-1	plant-based diets	plant-based diets	story: neu5gc is what opened up this whole can of worms: i wonder if alpha gal is playing a role in the improvements in arthritis and crohn’s on	
igf-1	igf-1	arthritis	arthritis	story: neu5gc is what opened up this whole can of worms: i wonder if alpha gal is playing a role in the improvements in	
igf-1	igf-1	plant-based	plant-based	story: neu5gc is what opened up this whole can of worms: i wonder if alpha gal is playing a role in the improvements in arthritis and crohn’s on	
neu5gc	neu5gc	treatment	treatment	is what opened up this whole can of worms: i wonder if alpha gal is playing a role in the improvements in arthritis and crohn’s on plant-based diets: dietary	
neu5gc	neu5gc	diet	diet	is what opened up this whole can of worms: i wonder if alpha gal is playing a role in the improvements in arthritis and crohn’s on plant-based diets: dietary treatment of crohn’s disease and	
neu5gc	neu5gc	rheumatoid arthritis	rheumatoid arthritis	is what opened up this whole can of worms: i wonder if alpha gal is playing a role in the improvements in arthritis and crohn’s on plant-based diets: dietary treatment of crohn’s disease and diet &	
neu5gc	neu5gc	disease	disease	is what opened up this whole can of worms: i wonder if alpha gal is playing a role in the improvements in arthritis and crohn’s on plant-based diets: dietary treatment of crohn’s	
neu5gc	neu5gc	crohn’s disease	crohn’s disease	is what opened up this whole can of worms: i wonder if alpha gal is playing a role in the improvements in arthritis and crohn’s on plant-based diets: dietary treatment of	
neu5gc	neu5gc	plant-based diets	plant-based diets	is what opened up this whole can of worms: i wonder if alpha gal is playing a role in the improvements in arthritis and crohn’s on	
neu5gc	neu5gc	arthritis	arthritis	is what opened up this whole can of worms: i wonder if alpha gal is playing a role in the improvements in	
neu5gc	neu5gc	plant-based	plant-based	is what opened up this whole can of worms: i wonder if alpha gal is playing a role in the improvements in arthritis and crohn’s on	
plant-based diets	plant-based diets	rheumatoid arthritis	rheumatoid arthritis	: dietary treatment of crohn’s disease and diet &	
plant-based diets	plant-based diets	arthritis	arthritis	: dietary treatment of crohn’s disease and diet & rheumatoid	
arthritis	arthritis	diet	diet	and crohn’s on plant-based diets: dietary treatment of crohn’s disease and	
arthritis	arthritis	rheumatoid arthritis	rheumatoid arthritis	and crohn’s on plant-based diets: dietary treatment of crohn’s disease and diet &	
